spline,x,y,kappa
0.0,0.06482181173566934,-0.9680531618914657,-0.00934454508329264
0.4950548240985,0.0610755174862818,-0.4727145145468226,-0.009292200537541545
0.990109648197,0.05967517176609365,0.022566191736837334,-0.00921736584202232
1.4851644722955,0.06057602806988486,0.5177872141201295,-0.009119979402723091
1.980219296394,0.06373333989243549,1.0129468097636702,-0.008999927840617565
2.4752741204925,0.0691023607285255,1.508043235828076,-0.008857148424709901
2.970328944591,0.0766383440729349,2.003074749473962,-0.00869158903507149
3.4653837686895,0.0862965434204437,2.4980396078619442,-0.008510704834880591
3.960438592788,0.09803221226583184,2.992936068152638,-0.008329501870977989
4.4554934168865,0.11180060410387938,3.487762387506663,-0.008148027871825989
4.950548240985,0.1275569724293663,3.9825168230846315,-0.007966327586210962
5.445603065083501,0.1452565707370726,4.477197632047161,-0.007784442830070764
5.940657889182,0.16485465252177825,4.971803071554866,-0.007602412537035767
6.4357127132805,0.18630647127826325,5.466331398768363,-0.007420272812294022
6.930767537379,0.20956728050130763,5.96078087084827,-0.007238056989409661
7.4258223614775005,0.23459233368569143,6.455149744955202,-0.007055795689741787
7.920877185576,0.2613368843261945,6.949436278249773,-0.006873516884130641
8.415932009674501,0.289756185917597,7.443638727892601,-0.00669124595653663
8.910986833773,0.3198054919546789,7.937755351044304,-0.006509005769337693
9.4060416578715,0.35144005593221994,8.431784404865493,-0.006326816730008497
10.066114756669501,0.39600809172655993,9.090350578686856,-0.006084008385330777
10.561169580768,0.4311675767115396,9.584168526361472,-0.0059020047731364956
11.0562244048665,0.46776316461957856,10.077893095240961,-0.005720103480674133
11.551279228965,0.5057501089454569,10.571522542485944,-0.005538315070829623
12.0463340530635,0.5450836631839546,11.065055125257032,-0.005356648020797133
12.541388877162001,0.5857190808298518,11.558489100714844,-0.00517510879231778
13.0364437012605,0.6276116153779281,12.05182272602,-0.004993701901841229
13.531498525359,0.6707165203229638,12.545054258333105,-0.0048124299904826326
14.026553349457501,0.7149890491597388,13.038181954814785,-0.004631293893661158
14.521608173556,0.7603844553830332,13.531204072625652,-0.0044502927103235
15.016662997654501,0.806857992487627,14.024118868926323,-0.004269423871667498
15.511717821753,0.8543649139683002,14.516924600877413,-0.004088683209295326
16.006772645851502,0.9028604733198325,15.009619525639538,-0.003908065022739487
16.50182746995,0.9522999240370043,15.502201900373317,-0.0037275621463157484
16.9968822940485,1.002638519614595,15.99466998223936,-0.003549667444427494
17.491937118147,1.0538315135473855,16.487022028398286,-0.0033918765152425655
17.9869919422455,1.105834159330155,16.979256296010714,-0.0032566694274025975
18.482046766344002,1.1586017104576845,17.471371042237262,-0.0031440262023992825
18.9771015904425,1.2120894204247523,17.963364524238532,-0.003053929009685536
19.6371746892405,1.2844492744925857,18.619164188019273,-0.002968850073230182
